Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testSuite_HitungProperti,Chrome 121.0.0.0,,,26-02-2024 21:16:30,26-02-2024 21:18:42,2m - 11.767s,FAILED
,,,,,,,
Test Cases/simulasiHitung,Chrome 121.0.0.0,Simulasi perhitungan properti,,26-02-2024 21:16:31,26-02-2024 21:16:49,18.608s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,26-02-2024 21:16:32,26-02-2024 21:16:35,3.223s,PASSED
navigateToUrl(UrlHitungProperti),Chrome 121.0.0.0,,,26-02-2024 21:16:35,26-02-2024 21:16:41,6.438s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,26-02-2024 21:16:41,26-02-2024 21:16:41,0.210s,PASSED
"if (Penghasilan != """")",Chrome 121.0.0.0,,,26-02-2024 21:16:41,26-02-2024 21:16:43,1.116s,PASSED
"if (Pengeluaran != """")",Chrome 121.0.0.0,,,26-02-2024 21:16:43,26-02-2024 21:16:43,0.868s,PASSED
"if (jangkaWaktu != """")",Chrome 121.0.0.0,,,26-02-2024 21:16:43,26-02-2024 21:16:45,1.791s,PASSED
"click(findTestObject(""Page_Hitung Harga Properti Maksimal  BTN Pr_37bba6/button_Hitung""))",Chrome 121.0.0.0,,,26-02-2024 21:16:45,26-02-2024 21:16:48,2.807s,PASSED
"if (testType == ""P"")",Chrome 121.0.0.0,,,26-02-2024 21:16:48,26-02-2024 21:16:49,0.894s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,26-02-2024 21:16:49,26-02-2024 21:16:49,0.329s,PASSED
,,,,,,,
Test Cases/simulasiHitung,Chrome 121.0.0.0,Simulasi perhitungan properti,,26-02-2024 21:16:49,26-02-2024 21:17:06,16.213s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,26-02-2024 21:16:50,26-02-2024 21:16:51,1.028s,PASSED
navigateToUrl(UrlHitungProperti),Chrome 121.0.0.0,,,26-02-2024 21:16:51,26-02-2024 21:16:59,8.121s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,26-02-2024 21:16:59,26-02-2024 21:16:59,0.226s,PASSED
"if (Penghasilan != """")",Chrome 121.0.0.0,,,26-02-2024 21:16:59,26-02-2024 21:17:00,0.811s,PASSED
"if (Pengeluaran != """")",Chrome 121.0.0.0,,,26-02-2024 21:17:00,26-02-2024 21:17:01,0.832s,PASSED
"if (jangkaWaktu != """")",Chrome 121.0.0.0,,,26-02-2024 21:17:01,26-02-2024 21:17:02,1.506s,PASSED
"click(findTestObject(""Page_Hitung Harga Properti Maksimal  BTN Pr_37bba6/button_Hitung""))",Chrome 121.0.0.0,,,26-02-2024 21:17:02,26-02-2024 21:17:05,2.519s,PASSED
"if (testType == ""P"")",Chrome 121.0.0.0,,,26-02-2024 21:17:05,26-02-2024 21:17:05,0.805s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,26-02-2024 21:17:05,26-02-2024 21:17:06,0.289s,PASSED
,,,,,,,
Test Cases/simulasiHitung,Chrome 121.0.0.0,Simulasi perhitungan properti,,26-02-2024 21:17:06,26-02-2024 21:18:21,1m - 15.001s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,26-02-2024 21:17:06,26-02-2024 21:17:07,0.962s,PASSED
navigateToUrl(UrlHitungProperti),Chrome 121.0.0.0,,,26-02-2024 21:17:07,26-02-2024 21:17:45,37.646s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,26-02-2024 21:17:45,26-02-2024 21:17:45,0.185s,PASSED
"if (Penghasilan != """")",Chrome 121.0.0.0,,,26-02-2024 21:17:45,26-02-2024 21:17:45,0.768s,PASSED
"if (Pengeluaran != """")",Chrome 121.0.0.0,,,26-02-2024 21:17:45,26-02-2024 21:17:46,0.869s,PASSED
"if (jangkaWaktu != """")",Chrome 121.0.0.0,,,26-02-2024 21:17:46,26-02-2024 21:17:48,1.588s,PASSED
"click(findTestObject(""Page_Hitung Harga Properti Maksimal  BTN Pr_37bba6/button_Hitung""))",Chrome 121.0.0.0,,,26-02-2024 21:17:48,26-02-2024 21:18:21,32.940s,FAILED
,,,,,,,
Test Cases/simulasiHitung,Chrome 121.0.0.0,Simulasi perhitungan properti,,26-02-2024 21:18:21,26-02-2024 21:18:42,20.998s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,26-02-2024 21:18:21,26-02-2024 21:18:22,1.350s,PASSED
navigateToUrl(UrlHitungProperti),Chrome 121.0.0.0,,,26-02-2024 21:18:22,26-02-2024 21:18:35,12.623s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,26-02-2024 21:18:35,26-02-2024 21:18:35,0.132s,PASSED
"if (Penghasilan != """")",Chrome 121.0.0.0,,,26-02-2024 21:18:35,26-02-2024 21:18:36,0.783s,PASSED
"if (Pengeluaran != """")",Chrome 121.0.0.0,,,26-02-2024 21:18:36,26-02-2024 21:18:37,0.859s,PASSED
"if (jangkaWaktu != """")",Chrome 121.0.0.0,,,26-02-2024 21:18:37,26-02-2024 21:18:38,1.608s,PASSED
"click(findTestObject(""Page_Hitung Harga Properti Maksimal  BTN Pr_37bba6/button_Hitung""))",Chrome 121.0.0.0,,,26-02-2024 21:18:38,26-02-2024 21:18:41,2.491s,PASSED
"if (testType == ""P"")",Chrome 121.0.0.0,,,26-02-2024 21:18:41,26-02-2024 21:18:42,0.823s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,26-02-2024 21:18:42,26-02-2024 21:18:42,0.269s,PASSED
